Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
"Thrane, Eric H.",369,78207,47.0,99,12,20,41,4.88,14.36,0.27,3.0,320,66.0,100.0
"Lasky, Paul D.",300,71570,44.5,89,12,18,38,9.33,10.33,2.0,3.0,248,61.5,100.0
"Ashton, Gregory",117,17458,36.0,49,6,5,37,11.97,7.69,0.85,37.0,92,71.8,100.0
"Ackerman, Ilana N.",156,60153,10.5,37,12,11,35,35.26,17.95,3.85,2.0,84,16.8,6.0
"Valencia, German",168,50808,15.0,38,24,22,34,10.71,82.14,7.14,2.0,112,9.5,2.0
"McDonald, Steve J.",113,50565,13.0,33,7,8,33,28.32,9.73,2.65,3.0,60,13.0,6.0
"Brennan, Sue E.",74,51172,30.0,33,9,8,32,13.51,12.16,0.0,3.5,55,11.0,8.5
"Skands, Peter Zeiler",105,46509,20.0,38,10,14,31,19.05,55.24,9.52,3.0,63,18.5,4.0
"Ademi, Zanfina",200,43706,8.5,31,10,10,28,17.0,26.0,0.0,4.0,94,17.4,7.0
"Nash, Jordan A.",1901,119993,33.0,141,7,14,27,0.11,0.21,0.11,77.0,1590,99.4,100.0
"Lee, Vincent C.S.",149,2084,3.0,23,9,10,22,13.42,48.32,2.01,2.0,41,3.4,3.0
"Egede, Ulrik",1026,68628,26.0,116,8,8,15,1.46,0.39,0.39,4.0,798,96.7,100.0
"Cumpston, Miranda S.",23,36879,13.0,12,6,3,12,39.13,4.35,0.0,2.0,14,8.5,5.0
"Scyboz, Ludovic M.",321,15158,35.0,68,2,5,9,0.62,4.05,0.62,4.0,267,93.7,100.0
